OTU ID,h0730,h0806,h0813,s0806,s0813,s0820,taxonomy
denovo1552954,20.04602611,1.886415137,366,0,894.0392626,808.0435135,k__Bacteria
denovo693023,509.7418067,635.7219011,201,22615.31384,1272.249629,7915.72189,k__Bacteria; p__Acidobacteria; c__Holophagae; o__Holophagales; f__; g__; s__
denovo275492,54.41064229,81.11585088,735,3.504891723,639.0119164,1313.394099,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__
denovo662736,1599.863798,8000.286595,2658,149.8341211,5569.21982,3855.669743,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__
denovo1148983,39.13747954,315.9745354,879,23.65801913,1048.980405,341.4997133,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__; s__
denovo1439298,407.6025308,1627.033055,573,210.2935034,1315.556159,404.4529433,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Saprospiraceae; g__Lewinella; s__
denovo1725396,8.591154046,134.8786823,399,148.0816753,6875.152305,2.58711904,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
denovo955760,46.77406092,60.36528438,3925,35.04891723,6368.947082,203.5200312,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__Flexibacter; s__
denovo432539,2219.381462,568.7541637,525,693.9685611,1354.050853,902.904545,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Flammeovirgaceae; g__Roseivirga; s__
denovo130148,1176.988104,600.8232211,183,2005.674288,308.9199174,603.6611094,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__; g__; s__
denovo279525,2.863718015,3255.009318,5495,129.6809937,3856.205947,513.974316,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__; g__; s__
denovo1031142,76.36581374,57.53566167,1677,469.6554908,2279.848238,10.34847616,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__; g__; s__
denovo1731240,479.1954812,78.28622818,263,37.67758602,729.4744467,219.0427454,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__; g__; s__
denovo37306,706.3837771,278.2462327,486,56.95449049,1419.491832,454.4705781,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Crocinitomix; s__
denovo1559849,7612.717057,24053.67941,1567,16351.19611,6930.969611,7073.183456,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Cryomorphaceae; g__Fluviicola; s__
denovo768018,4136.163387,11024.21006,3172,8257.524898,9242.575972,2193.876946,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae
denovo1425070,4111.344497,14693.2875,12097,20303.83775,4877.277699,11329.85665,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae
denovo1584768,152.7316275,3553.06291,5544,912.1480708,2608.015502,1077.966267,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Krokinobacter; s__genikus
denovo462999,743.6121113,4170.863867,759,4994.470705,705.4152631,303.5553007,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Polaribacter; s__
denovo313457,48.68320626,359.3620836,755,789.4768605,304.1080807,877.0333546,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Psychroserpens; s__
denovo638866,2306.247575,2462.714961,1275,6821.395515,1524.389873,2315.471541,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Tenacibaculum; s__
denovo1251103,529.7878328,164.1181169,1144,2805.665824,344.5275091,446.7092209,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Tenacibaculum; s__
denovo583661,190.9145343,535.7418988,589,1621.012422,444.6137129,902.042172,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__NS11-12; g__; s__
denovo578894,126.9581653,361.2484987,654,5.257337584,937.345793,288.0325865,k__Bacteria; p__Planctomycetes; c__028H05-P-BN-P5; o__; f__; g__; s__
denovo543764,274.9169295,693.2575628,603,1632.40332,504.2804882,2770.804492,k__Bacteria; p__Planctomycetes; c__Pla3; o__; f__; g__; s__
